subject_area,subj_code,title,number,section_ids
Atmospheric and Oceanic Sciences,A&O SCI,Seminar: Atmospheric Chemistry,274,"{5862482,4772}"
Atmospheric and Oceanic Sciences,A&O SCI,Seminar: Atmospheric Dynamics,271,"{5861289,4813}"
Atmospheric and Oceanic Sciences,A&O SCI,Seminar: Atmospheric Sciences,270,"{794,5867000}"
Atmospheric and Oceanic Sciences,A&O SCI,Seminar: Space Physics,M275A,{5863612}
Atmospheric and Oceanic Sciences,A&O SCI,Seminar: Space Physics,M275B,{4722}
Atmospheric and Oceanic Sciences,A&O SCI,Solar System Microscopic Plasma Processes,250B,{5865858}
Atmospheric and Oceanic Sciences,A&O SCI,Special Topics in Atmospheric and Oceanic Sciences,188,{4122}
Atmospheric and Oceanic Sciences,A&O SCI,Special Topics in Oceanography,282,{5864246}
Atmospheric and Oceanic Sciences,A&O SCI,Statistical Analysis and Visual Explanation of Large Climate Data,219,{5862490}
Atmospheric and Oceanic Sciences,A&O SCI,Statistical Prediction and Verification,286,{4013}
Atmospheric and Oceanic Sciences,A&O SCI,Teaching Atmospheric and Oceanic Sciences,495,{5865050}
Bioengineering,BIOENGR,Anatomy of Central Nervous System,M263,{3391}
Bioengineering,BIOENGR,Biochemical Reaction Engineering,M215,{5864244}
Bioengineering,BIOENGR,Bioengineering Capstone Design I,177A,{5867269}
Bioengineering,BIOENGR,Bioengineering Capstone Design II,177B,{2572}
Bioengineering,BIOENGR,Bioengineering Fundamentals,100,{5862502}
Bioengineering,BIOENGR,Bioengineering Laboratory,167L,{5864274}
Bioengineering,BIOENGR,Biomedical Imaging,M217,{998}
Bioengineering,BIOENGR,Biomedical Transducers,120,{3185}
Bioengineering,BIOENGR,Biomolecular Materials Science I,C139A,{1856}
Bioengineering,BIOENGR,Biomolecular Materials Science I,C239A,{272}
Bioengineering,BIOENGR,Computational Systems Biology: Modeling and Simulation of Biological Systems,CM186,{1521}
Bioengineering,BIOENGR,Computational Systems Biology: Modeling and Simulation of Biological Systems,CM286,{2764}
Bioengineering,BIOENGR,Digital Speech Processing,M214A,{1894}
Bioengineering,BIOENGR,Engineering of Bioconjugates,C105,{5865375}
Bioengineering,BIOENGR,Engineering of Bioconjugates,C205,{5865411}
Bioengineering,BIOENGR,Engineering Principles for Drug Delivery,C101,{2205}
Bioengineering,BIOENGR,Engineering Principles for Drug Delivery,C201,{600}
Bioengineering,BIOENGR,Fluid-Particle and Fluid-Structure Interactions in Microflows,C155,{133}
Bioengineering,BIOENGR,Fluid-Particle and Fluid-Structure Interactions in Microflows,C255,{3904}
Bioengineering,BIOENGR,Introduction to Bioengineering,10,{5865371}
Bioengineering,BIOENGR,Introduction to Biomaterials,CM178,{5863067}
Bioengineering,BIOENGR,Introduction to Biomaterials,CM278,{5865407}
Bioengineering,BIOENGR,Introduction to Biomechanics,CM140,{1191}
Bioengineering,BIOENGR,Introduction to Biomechanics,CM240,{2334}
Bioengineering,BIOENGR,Introduction to Computational and Systems Biology,M184,{5864088}
Bioengineering,BIOENGR,Introduction to Medical Informatics,220,{5867670}
Bioengineering,BIOENGR,Introduction to Microscale and Nanoscale Manufacturing,M153,{5864231}
Bioengineering,BIOENGR,Introduction to Tissue Engineering,C185,{2099}
Bioengineering,BIOENGR,Introduction to Tissue Engineering,C285,{876}
Bioengineering,BIOENGR,Machine Learning and Data-Driven Modeling in Bioengineering,C175,{1082}
Bioengineering,BIOENGR,Machine Learning and Data-Driven Modeling in Bioengineering,C275,{990}
Bioengineering,BIOENGR,Medical Decision Making,M228,{4455}
Bioengineering,BIOENGR,Medical Information Infrastructures and Internet Technologies,M227,{5858263}
Bioengineering,BIOENGR,Medtech Innovation I: Entrepreneurial Opportunities in Medical Technology,M233A,{3384}
Bioengineering,BIOENGR,Microelectromechanical Systems (MEMS) Fabrication,M250B,{5259}
Bioengineering,BIOENGR,Molecular Biotechnology for Engineers,CM145,{5867338}
Bioengineering,BIOENGR,Molecular Biotechnology for Engineers,CM245,{5865358}
Bioengineering,BIOENGR,Neuroengineering,M260,{5865769}
Bioengineering,BIOENGR,Physical Chemistry of Biomacromolecules,C104,{5863079}
Bioengineering,BIOENGR,Physical Chemistry of Biomacromolecules,C204,{5864340}
Bioengineering,BIOENGR,Physics and Informatics of Medical Imaging,224A,{148}
Bioengineering,BIOENGR,Polymer Chemistry for Bioengineers,C107,{818}
Bioengineering,BIOENGR,Polymer Chemistry for Bioengineers,C207,{710}
Bioengineering,BIOENGR,Principles and Applications of Magnetic Resonance Imaging,M219,{1780}
Bioengineering,BIOENGR,Programming Laboratory for Medical and Imaging Informatics I,223A,{5864269}
Bioengineering,BIOENGR,Programming Laboratory for Medical and Imaging Informatics II,223B,{2498}
Bioengineering,BIOENGR,Seminar: Bioengineering Topics,299,"{5864132,4412}"
Bioengineering,BIOENGR,Seminar: Research Topics in Bioengineering--Biomaterial Research,295A,"{385,5860666}"
Bioengineering,BIOENGR,Seminar: Research Topics in Bioengineering--Biomaterials and Tissue Engineering Research,295B,"{5865783,1533}"
Bioengineering,BIOENGR,Seminar: Research Topics in Bioengineering--Biomicrofluidics and Bionanotechnology Research,295G,"{5864238,4135}"
Bioengineering,BIOENGR,Seminar: Research Topics in Bioengineering--Biomimetic System Research,295H,"{4132,5864228}"
Bioengineering,BIOENGR,Seminar: Research Topics in Bioengineering--Biopolymer Materials and Chemistry,295F,"{5860634,2159}"
Bioengineering,BIOENGR,Seminar: Research Topics in Bioengineering--Hybrid Device Research,295D,"{603,5858273}"
Bioengineering,BIOENGR,Seminar: Research Topics in Bioengineering--Minimally Invasive and Laser Research,295C,"{1086,5858255}"
Bioengineering,BIOENGR,Seminar: Research Topics in Bioengineering--Molecular Cell Bioengineering Research,295E,"{2932,5865754}"
Bioengineering,BIOENGR,Seminar: Research Topics in Bioengineering--Neural Tissue Engineering and Regenerative Medicine,295J,"{5858269,4427}"
Bioengineering,BIOENGR,Signal and Image Processing for Biomedicine,M209,{5860665}
Bioengineering,BIOENGR,Special Courses in Bioengineering: Biomedical Measurements: from Molecules to Tissues,188,"{5865398,3151,5865376}"
Bioengineering,BIOENGR,Special Courses in Bioengineering: Cell Engineering,188,{1411}
Bioengineering,BIOENGR,Special Courses in Bioengineering: Law and Technology for Bioengineers,188,{2039}
Bioengineering,BIOENGR,Special Studies in Bioengineering: Wearable Bioelectronics,298,{4533}
Bioengineering,BIOENGR,"System Integration in Biology, Engineering, and Medicine I",180,{2246}
Bioengineering,BIOENGR,Systems Biomodeling and Simulation Basics,M182,{5867274}
Bioengineering,BIOENGR,Teaching Assistant Training Seminar,495,{5866167}
Bioinformatics (Graduate),BIOINFO,Applied Bioinformatics Lab for Biologists: Fundamentals,275A,"{4797,5862859}"
Bioinformatics (Graduate),BIOINFO,Applied Bioinformatics Lab for Biologists: Intermediate,275B,"{5862062,3417}"
Bioinformatics (Graduate),BIOINFO,Bioinformatics Interdisciplinary Research Seminar,202,{5861293}
Bioinformatics (Graduate),BIOINFO,Computational Methods in Genomics,M225,{4155}
Bioinformatics (Graduate),BIOINFO,Introduction to Bioinformatics,M221,{5860543}
Bioinformatics (Graduate),BIOINFO,Machine Learning Applications in Genetics,M224,{4266}
Bioinformatics (Graduate),BIOINFO,Machine Learning in Bioinformatics,M226,{5862245}
Bioinformatics (Graduate),BIOINFO,Seminar: Advanced Methods in Computational Biology,201,"{5862091,3520}"
Bioinformatics (Graduate),BIOINFO,Statistical Methods in Computational Biology,M223,"{1950,5860642}"
Biological Chemistry,BIOL CH,Biological Chemistry and Nutrition Lecture: Dental Students,205,{5860709}
Biological Chemistry,BIOL CH,Cancer Cell Biology,M140,{1393}
Biological Chemistry,BIOL CH,"Mitochondria in Medicine, Biology, and Chemistry",M255,"{5862480,2082}"
Biological Chemistry,BIOL CH,Research Group Seminars: Biological Chemistry,194,{1900}
Biological Chemistry,BIOL CH,Research Laboratory Rotations,220A,{5863373}
Biological Chemistry,BIOL CH,Research Laboratory Rotations,220B,{1623}
Biological Chemistry,BIOL CH,Research Seminar Series in Biological Chemistry,296,"{142,5861299}"
Biological Chemistry,BIOL CH,"Seminar: Cell, Stem Cell, and Developmental Biology",266A,{5859881}
Biological Chemistry,BIOL CH,"Seminar: Cell, Stem Cell, and Developmental Biology",266B,{178}
Biological Chemistry,BIOL CH,Seminar: Transcriptional Regulation,251A,{5863025}
Biological Chemistry,BIOL CH,Seminar: Transcriptional Regulation,251B,{2454}
Biological Chemistry,BIOL CH,Tumor Cell Biology,248,"{5861501,3337}"
Biomathematics,BIOMATH,Applied Bayesian Inference,M234,{856}
Biomathematics,BIOMATH,Applied Regression Analysis in Medical Sciences,266A,{1719}
Biomathematics,BIOMATH,"Biological Systems: Structure, Function, Evolution",202,{1814}
Biomathematics,BIOMATH,Communication of Science,M262,{2213}
Biomathematics,BIOMATH,Controversies in Clinical Trials,259,{4934}
Biomathematics,BIOMATH,Data Analysis Strategies I,265A,{2048}
Biomathematics,BIOMATH,Deterministic Models in Biology,201,"{2731,5859808}"
Biomathematics,BIOMATH,Frontiers and Methods in Mathematical Systems,200B,{4760}
Biomathematics,BIOMATH,Introductory Biomathematics for Medical Investigators,170A,{5859813}
Biomathematics,BIOMATH,Longitudinal Data,M282,{5864623}
Biomathematics,BIOMATH,Methodology in Clinical Research I,M260A,{5859843}
Biomathematics,BIOMATH,Methodology in Clinical Research III,M260C,{5864602}
Biomathematics,BIOMATH,Modeling Vascular Networks,213,{3010}
Biomathematics,BIOMATH,Research Frontiers in Biomathematics,200,"{1705,5859846}"
Biomathematics,BIOMATH,Responsible Conduct of Research Involving Humans,M261,{5864606}
Biomathematics,BIOMATH,Special Topics in Clinical Research,299,"{5864717,5864649}"
Biomathematics,BIOMATH,Statistical Computing,M280,{3203}
Biomathematics,BIOMATH,Statistical Methods in Computational Biology,M271,"{399,5864631}"
Biomathematics,BIOMATH,Stochastic Models in Biology,M203,{1985}
Biomathematics,BIOMATH,Survival Analysis,M281,{5859827}
Biomathematics,BIOMATH,Theoretical Genetic Modeling,M207A,{2356}
Biomathematics,BIOMATH,Top Computational Algorithms,205,{5864652}
Biomedical Research,BMD RES,Biomedical Research: Concepts and Strategies,5HA,"{693,5864632}"
Biomedical Research,BMD RES,Biomedical Research: Essential Skills and Concepts,5HB,"{5864679,1846}"
Biomedical Research,BMD RES,Individual Studies for USIE Facilitators,188SA,{5864655}
Biomedical Research,BMD RES,Individual Studies for USIE Facilitators,188SB,{2810560}
Biomedical Research,BMD RES,Journal Club Seminars: Current Topics in Biomedical Research,193H,"{672,1841,5864614}"
Biomedical Research,BMD RES,"Novel Topics and Discoveries in Oral Biology, Medicine, and Dentistry",19,{5864629}
Biomedical Research,BMD RES,Research Group Seminars: Data Presentation in Biomedical Research,194H,"{5864647,5251}"
Biomedical Research,BMD RES,"Research Training in Genes, Genetics, and Genomics",10H,{5864698}
Biostatistics,BIOSTAT,Advanced Probability and Statistics,255A,{5860073}
Biostatistics,BIOSTAT,Advanced Probability and Statistics,255B,{752}
Biostatistics,BIOSTAT,Advanced Seminar: Biostatistics,245,"{519,5858370}"
Biostatistics,BIOSTAT,Advanced Survival Analysis,275,{628}
Biostatistics,BIOSTAT,Advanced Topics: Recent Developments,285,{1298}
Biostatistics,BIOSTAT,Applied Bayesian Inference,M234,{1132}
Biostatistics,BIOSTAT,Biostatistical Consulting,402B,"{5860555,3255}"
Biostatistics,BIOSTAT,Causal Inference,M235,{5860581}
Biostatistics,BIOSTAT,Classification and Regression Trees (CART) and Other Algorithms,273,{5859748}
Biostatistics,BIOSTAT,Computer Management and Analysis of Health Data Using SAS,M403B,"{1372,5860106}"
Biostatistics,BIOSTAT,Doctoral Statistical Consulting Seminar,409,"{5860579,3008}"
Biostatistics,BIOSTAT,Field Studies in Biostatistics,400,"{5860849,5861502,4008,4543,4542,4336,5473,3688,4281,4335,5860872,4648,5861015,3490,5860976,4010,5861430,5861461,5861525,5861186,3949,5861646,5861691,5860904,5861219,4279,4009,4284,3491,5861406,4541,5861038,4899,3950,5860695,4280,5861635,5861302,4434,4283,5861373,5861341,5861254,5861121,4337,3432,3689,5861575,5861481,4282,3492,5861386,3489,4007,5860800,5861361,5860735}"
Biostatistics,BIOSTAT,Introduction to Biostatistics,100A,"{5860164,5860137}"
Biostatistics,BIOSTAT,Introduction to Biostatistics,100B,{2579}
Biostatistics,BIOSTAT,Introduction to Computational Methods in Biostatistics,213,{5860076}
Biostatistics,BIOSTAT,Introduction to Data Management and Statistical Computing,203A,{5860536}
Biostatistics,BIOSTAT,Introduction to Data Science,203B,{451}
Biostatistics,BIOSTAT,Introduction to Demographic Methods,M208,{1399}
Biostatistics,BIOSTAT,Linear Statistical Models,250A,{5859839}
Biostatistics,BIOSTAT,Linear Statistical Models,250B,{2031}
Biostatistics,BIOSTAT,Longitudinal Data,M236,{5859856}
Biostatistics,BIOSTAT,Mathematical Methods for Biostatistics,216,{5860532}
Biostatistics,BIOSTAT,Mathematical Statistics A,202A,{5860777}
Biostatistics,BIOSTAT,Mathematical Statistics B,202B,{1905}
Biostatistics,BIOSTAT,Methods in Biostatistics A,200A,{5860780}
Biostatistics,BIOSTAT,Methods in Biostatistics B,200B,{3330}
Biostatistics,BIOSTAT,Seminar: Research Topics in Biostatistics,296,{5347}
Biostatistics,BIOSTAT,Statistical Computing,M280,{2260}
Biostatistics,BIOSTAT,Survival Analysis,M215,{5860783}
Biostatistics,BIOSTAT,Theoretical Genetic Modeling,M272,{2820}
Biostatistics,BIOSTAT,Topics in Applied Regression,201A,{5860781}
Biostatistics,BIOSTAT,Topics in Applied Regression,201B,{1401}
Central and East European Studies,C&EE ST,Balkan Cultures in Film and Literature,130,{5864127}
Central and East European Studies,C&EE ST,Culture and Society in Central and Eastern Europe,91,{5864115}
Chemical Engineering,CH ENGR,Advanced Chemical Reaction Engineering,210,{1104}
Chemical Engineering,CH ENGR,Advanced Engineering Thermodynamics,200,{5862848}
Chemical Engineering,CH ENGR,Advanced Mass Transfer,220,{546}
Chemical Engineering,CH ENGR,Biochemical Reaction Engineering,C115,{5863114}
Chemical Engineering,CH ENGR,Biochemical Reaction Engineering,CM215,{5858401}
Chemical Engineering,CH ENGR,Biomolecular Engineering Fundamentals,45,{5202}
Chemical Engineering,CH ENGR,Cell Material Interactions,C124,{810}
Chemical Engineering,CH ENGR,Cell Material Interactions,C224,{680}
Chemical Engineering,CH ENGR,Chemical and Biomolecular Engineering Laboratory I,104A,{5132}
Chemical Engineering,CH ENGR,Chemical and Biomolecular Engineering Laboratory II,104B,{5862398}
Chemical Engineering,CH ENGR,Chemical Reaction Engineering,106,{5864213}
Chemical Engineering,CH ENGR,Departmental Seminar,299,"{5861345,4612}"
Chemical Engineering,CH ENGR,Fundamentals of Chemical and Biomolecular Engineering,100,{5862513}
Chemical Engineering,CH ENGR,Individual Studies for USIE Facilitators,188SA,{5868221}
Chemical Engineering,CH ENGR,Individual Studies for USIE Facilitators,188SB,{2640}
Chemical Engineering,CH ENGR,Introduction to Chemical and Biomolecular Engineering,10,{5864224}
Chemical Engineering,CH ENGR,Introduction to Microscale and Nanoscale Manufacturing,M153,{5863438}
Chemical Engineering,CH ENGR,Linear Dynamic Systems,M280A,"{5858387,5858397}"
Chemical Engineering,CH ENGR,Methods of Molecular Simulation,201,{321}
Chemical Engineering,CH ENGR,Molecular Biotechnology for Engineers,CM145,{5861189}
Chemical Engineering,CH ENGR,Molecular Biotechnology for Engineers,CM245,{5863917}
Chemical Engineering,CH ENGR,Molecular Biotechnology Laboratory: From Gene to Product,104D,{3475}
Chemical Engineering,CH ENGR,Nonlinear Dynamic Systems,M282A,{3364}
Chemical Engineering,CH ENGR,Numerical and Mathematical Methods in Chemical and Biological Engineering,109,{5864232}
Chemical Engineering,CH ENGR,Optimal Control,M280C,{5860754}
Chemical Engineering,CH ENGR,Polymer Processes,C112,{411}
Chemical Engineering,CH ENGR,Polymer Processes,C212,{2170}
Chemical Engineering,CH ENGR,Process Dynamics and Control,107,{4596}
Chemical Engineering,CH ENGR,Process Economics and Analysis,108A,{4107}
Chemical Engineering,CH ENGR,Research Group Seminars: Chemical Engineering,194,"{5863070,1216}"
Chemical Engineering,CH ENGR,Research Seminar,298A,"{5861454,386}"
Chemical Engineering,CH ENGR,Research Seminar,298B,"{2274,5858392}"
Chemical Engineering,CH ENGR,Research Seminar,298C,"{1494,5864082}"
Chemical Engineering,CH ENGR,Research Seminar,298D,"{5864055,3381}"
Chemical Engineering,CH ENGR,Research Seminar,298F,"{5859766,3319}"
Chemical Engineering,CH ENGR,Research Seminar,298G,"{1184,5859752}"
Chemical Engineering,CH ENGR,Research Seminar,298H,"{5864092,626}"
Chemical Engineering,CH ENGR,Research Seminar,298J,"{5861332,1293}"
Chemical Engineering,CH ENGR,Research Seminar,298M,"{5858411,1893}"
Chemical Engineering,CH ENGR,Research Seminar,298N,"{2663,5860767}"
Chemical Engineering,CH ENGR,Research Seminar,298O,"{2884,5862448}"
Chemical Engineering,CH ENGR,Research Seminar,298P,"{323,5863068}"
Chemical Engineering,CH ENGR,Research Seminar,298S,"{1271,5863050}"
Chemical Engineering,CH ENGR,Research Seminar,298T,"{5860702,91}"
Chemical Engineering,CH ENGR,Research Seminar,298V,"{5333,5868199}"
Chemical Engineering,CH ENGR,Research Seminar,298Z,{4670}
Chemical Engineering,CH ENGR,Semiconductor Processing,104C,{4419}
Chemical Engineering,CH ENGR,Semiconductor Processing Laboratory,104CL,"{4853,4897}"
Chemical Engineering,CH ENGR,Teaching Assistant Training Seminar,495A,{5862451}
Chemical Engineering,CH ENGR,Theory of Applied Mathematics for Chemical Engineers,259,{5864016}
Chemical Engineering,CH ENGR,Thermodynamics I,102A,{3659}
Chemical Engineering,CH ENGR,Transport Phenomena I,101A,{5860588}
Chemical Engineering,CH ENGR,Transport Phenomena II: Heat Transfer,101B,{4198}
Chemistry and Biochemistry,CHEM,Advanced Honors Seminars: Advanced Honors Seminar for Chemistry and Biochemistry 171,189,{5860493}
Chemistry and Biochemistry,CHEM,Advanced Topics in Biochemistry and Molecular Biology,258,{5860561}
Chemistry and Biochemistry,CHEM,Advanced Topics in Chemical Research,210,{5866319}
Chemistry and Biochemistry,CHEM,Biocatalysis and Bioenergetics,269B,{5866894}
Chemistry and Biochemistry,CHEM,Biochemical Methods I,153L,"{1666,5860538}"
Chemistry and Biochemistry,CHEM,Biochemical Methods II,154,"{5866869,1837}"
Chemistry and Biochemistry,CHEM,Biochemistry: Biosynthetic and Energy Metabolism and Its Regulation,153C,"{2786,5868174}"
Chemistry and Biochemistry,CHEM,"Biochemistry: DNA, RNA, and Protein Synthesis",153B,"{5860559,4950}"
Chemistry and Biochemistry,CHEM,"Biochemistry: Introduction to Structure, Enzymes, and Metabolism",153A,"{2863,5860533,3080,5860557,5860512}"
Chemistry and Biochemistry,CHEM,Biochemistry Research Seminar,268,"{5866895,1582}"
Chemistry and Biochemistry,CHEM,"Biomolecular Structure, Catalysis, and Regulation",269E,{5859611}
Chemistry and Biochemistry,CHEM,Careers in Chemistry and Biochemistry,147,"{5865280,308}"
Chemistry and Biochemistry,CHEM,Chemical Energetics and Change,20B,"{826,2556,2557}"
Chemistry and Biochemistry,CHEM,Chemical Energetics and Change (Honors),20BH,{2926}
Chemistry and Biochemistry,CHEM,Chemical Instrumentation,184,{5082}
Chemistry and Biochemistry,CHEM,Chemical Physics Seminar,228,"{5339,5860265}"
Chemistry and Biochemistry,CHEM,Chemical Principles,17,"{4573,5866469}"
Chemistry and Biochemistry,CHEM,Chemical Structure,20A,"{2819,5866874,5867018,5866937}"
Chemistry and Biochemistry,CHEM,Chemical Structure (Honors),20AH,{5860372}
Chemistry and Biochemistry,CHEM,Chemistry of Biology Seminar,206,"{5866418,1580}"
Chemistry and Biochemistry,CHEM,Chemistry Student Exit Seminar,218,"{2577,5866859}"
Chemistry and Biochemistry,CHEM,Classical and Statistical Thermodynamics,C123A,{5866879}
Chemistry and Biochemistry,CHEM,Classical and Statistical Thermodynamics,C123B,{188}
Chemistry and Biochemistry,CHEM,Classical and Statistical Thermodynamics,C223A,{5860498}
Chemistry and Biochemistry,CHEM,Classical and Statistical Thermodynamics,C223B,{3419}
Chemistry and Biochemistry,CHEM,Computational Methods for Chemists,C126A,{2842}
Chemistry and Biochemistry,CHEM,Computational Methods for Chemists,C226A,{4744}
Chemistry and Biochemistry,CHEM,Computers in Chemistry,125,{5866903}
Chemistry and Biochemistry,CHEM,Electrochemical Systems,C173,{5860526}
Chemistry and Biochemistry,CHEM,Electrochemical Systems,C273,{5860390}
Chemistry and Biochemistry,CHEM,General and Organic Chemistry Laboratory I,14BL,"{5859482,4631,5178,5859513}"
Chemistry and Biochemistry,CHEM,General and Organic Chemistry Laboratory II,14CL,"{3877,3878,5860570}"
Chemistry and Biochemistry,CHEM,General Chemistry for Life Scientists I,14A,"{5860551,5860574,4735,5860508,5448,5860528}"
Chemistry and Biochemistry,CHEM,General Chemistry for Life Scientists II,14B,"{3984,5238,5868167,4572,4523}"
Chemistry and Biochemistry,CHEM,General Chemistry Laboratory,20L,"{1661,1212}"
Chemistry and Biochemistry,CHEM,General Chemistry Laboratory II,30AL,"{5860534,4094}"
Chemistry and Biochemistry,CHEM,Group Theory and Applications to Inorganic Chemistry,C176,{4975}
Chemistry and Biochemistry,CHEM,Group Theory and Applications to Inorganic Chemistry,C276A,{2828}
Chemistry and Biochemistry,CHEM,Honors Contracts,89HC,"{3792708,3764039,3632594,3236793,3864680}"
Chemistry and Biochemistry,CHEM,Honors Seminars: Seminar 1  ,89,{1998}
Chemistry and Biochemistry,CHEM,Inorganic and Metalorganic Laboratory Methods,C174,{4918}
Chemistry and Biochemistry,CHEM,Inorganic and Metalorganic Laboratory Methods,C274,{1053}
Chemistry and Biochemistry,CHEM,Inorganic Chemistry Student Seminar,278,"{3154,5866488}"
Chemistry and Biochemistry,CHEM,Intermediate Inorganic Chemistry,171,{5859569}
Chemistry and Biochemistry,CHEM,Introduction to Bioinformatics,CM160A,{5863773}
Chemistry and Biochemistry,CHEM,Introduction to Bioinformatics,CM260A,{5863909}
Chemistry and Biochemistry,CHEM,"Introduction to Collaborative Learning Theory and Practice: Introduction, Methods, and Applications",192E,"{5866888,2810934}"
Chemistry and Biochemistry,CHEM,Issues on Chemistry/Biology Interface,M205B,{2455}
Chemistry and Biochemistry,CHEM,Journal Club Seminars: UC LEADS and MARC,193A,"{149,5866856}"
Chemistry and Biochemistry,CHEM,Materials Chemistry Laboratory,185,{5860468}
Chemistry and Biochemistry,CHEM,Materials Chemistry Laboratory,285,{2933}
Chemistry and Biochemistry,CHEM,Material World,3,{5860489}
Chemistry and Biochemistry,CHEM,Mathematical Methods for Chemistry,C122,{5860490}
Chemistry and Biochemistry,CHEM,Mathematical Methods for Chemistry,C222,{5860524}
Chemistry and Biochemistry,CHEM,Mechanism and Regulation of Gene Expression,269D,{5859525}
Chemistry and Biochemistry,CHEM,Methods and Application of Collaborative Learning Theory and Practice,192F,"{2810787,5863831}"
Chemistry and Biochemistry,CHEM,Methods of Chemical Synthesis:cvdganic/Inorganic/Organometallic,249B,{5344}
Chemistry and Biochemistry,CHEM,"Methods of Materials Chemistry: Synthesis, Characterization, Physical Properties, Applications, and Devices",249A,{4379}
Chemistry and Biochemistry,CHEM,Methods of Physical/Theoretical/Biophysical Chemistry,249C,{3580}
Chemistry and Biochemistry,CHEM,"Mitochondria in Medicine, Biology, and Chemistry",C155,"{5863326,893}"
Chemistry and Biochemistry,CHEM,"Mitochondria in Medicine, Biology, and Chemistry",CM255,"{5866308,3789}"
Chemistry and Biochemistry,CHEM,Modern Machining for Scientific Applications,19,{5863905}
Chemistry and Biochemistry,CHEM,Nucleic Acid Structure and Catalysis,269C,{5859505}
Chemistry and Biochemistry,CHEM,"Organic Chemistry III: Reactivity, Synthesis, and Biomolecules",30C,{3568}
Chemistry and Biochemistry,CHEM,"Organic Chemistry II: Reactivity, Synthesis, and Spectroscopy",30B,"{5868183,3414}"
Chemistry and Biochemistry,CHEM,Organic Chemistry I: Structure and Reactivity,30A,{5865063}
Chemistry and Biochemistry,CHEM,Organic Chemistry Laboratory I,30BL,"{3620,5860586}"
Chemistry and Biochemistry,CHEM,Organic Chemistry Laboratory II,30CL,"{3985,5866898}"
Chemistry and Biochemistry,CHEM,Organic Chemistry Student Seminar,248,"{5860506,3999}"
Chemistry and Biochemistry,CHEM,Organic Colloquium,247,"{5860529,5469}"
Chemistry and Biochemistry,CHEM,Organic Reactions and Pharmaceuticals,14D,"{5024,5866927,3561,5866965,5866891,3613}"
Chemistry and Biochemistry,CHEM,Organic Synthesis: Methodology and Stereochemistry,244A,{5863359}
Chemistry and Biochemistry,CHEM,Organometallic Chemistry,C107,{5068}
Chemistry and Biochemistry,CHEM,Organometallic Chemistry,C207,{495}
Chemistry and Biochemistry,CHEM,PEERS Collaborative Learning Workshops for Life Sciences Majors,98XA,"{5865277,4125,5865216,5112,5865162,4126,5865331,5383,4297}"
Chemistry and Biochemistry,CHEM,PEERS Collaborative Learning Workshops for Physical Sciences and Engineering Majors,98XB,"{3647,3648,5866936,5866840}"
Chemistry and Biochemistry,CHEM,Physical Biochemistry,156,{5866890}
Chemistry and Biochemistry,CHEM,Physical Chemistry: Chemical Thermodynamics,110A,"{3893,5860510,4709}"
Chemistry and Biochemistry,CHEM,Physical Chemistry: Introduction to Molecular Spectroscopy,C113B,{2956}
Chemistry and Biochemistry,CHEM,Physical Chemistry: Introduction to Quantum Mechanics,113A,{4039}
Chemistry and Biochemistry,CHEM,Physical Chemistry Laboratory,114,"{3191,5863356}"
Chemistry and Biochemistry,CHEM,Physical Chemistry: Molecular Spectroscopy,C213B,{1062}
Chemistry and Biochemistry,CHEM,Physical Chemistry of Biological Macromolecules,257,{3060}
Chemistry and Biochemistry,CHEM,Practical and Theoretical Introductory Organic Synthesis,144,{5860520}
Chemistry and Biochemistry,CHEM,Protein Structure,269A,{5866318}
Chemistry and Biochemistry,CHEM,Quantum Chemistry,C115A,{5866880}
Chemistry and Biochemistry,CHEM,Quantum Chemistry,C115B,{1681}
Chemistry and Biochemistry,CHEM,Quantum Chemistry: Methods,C215A,{5865165}
Chemistry and Biochemistry,CHEM,Quantum Chemistry: Methods,C215B,{2534}
Chemistry and Biochemistry,CHEM,Research Apprenticeship in Chemistry and Biochemistry,196A,"{5860826,3125236,5860721,3143690,2789030,5860525,2660104,5860501,3215108,3102263,2806595,5861367,2654213,5861224,5860846,5860899,2423844,6552739,2490832,2497944,5861174,5860788,5861262,2366235,2573123,5861004,5860868,3997546,5860547,2125201,2948599,5861286,2712666,3090597,5860568,5861105,5861063,5861311,5860667,5860978,2712646,5861243,2666082,2247329,5861353,5860631,3161879,5860591,5860704}"
Chemistry and Biochemistry,CHEM,Research Apprenticeship in Chemistry and Biochemistry,196B,"{2229427,5866736,5866480,2246624,2246652,5866554,2525287,1547522,5866620,5866662,2382595,1338,3213109}"
Chemistry and Biochemistry,CHEM,Research Group Seminars: Chemistry and Biochemistry,194,"{5868496,4185,558,5868490,5868491,5868343,5868480,5868508,5868478,5868507,5868473,5868493,4907,5868502,5868475,5868519,5868465,3964,5868397,3906,3748,5868476,4790,5428,5868512,5868511,5868431,5223,4901,5868494,5868517,2227,5868470,1664,1663,5868481,1615,3738,5868503,3958,886,1274,1221,5868489,5221,4960,491,4190,5220,4570,4692,767,5868482,5868307,4264,1115,5868498,5868504,5868505,5216,5426,2325,5868513,5868514,5868518,4258,5868269,5868506,1272,2167,1668,5868497,5868495,2720,5868219,269,5868483,5868479,5868364,5868515,264,5868509,612,1669,5868499,4249,3742,5868501,5868477,5868459,5868510,5868516,5868452,5868488,5868500,1444,774,1329,5868486,5868487,837,5868484,5868485,4832,5868492,442,3385,768,3592,3411}"
